mOTUs2_clade	M1-stool	M10-stool	M11-stool	M13-stool	M14-stool	M16-stool	M17-stool	M19-stool	M2-stool	M20-stool	M21-stool	M3-stool	M4-stool	M5-stool	M6-stool	M7-stool	M8-stool	M9-stool	RD521-stool	RD522-stool
k__Bacteria	1754	2143	1316	2243	1125	2589	1175	2387	2462	1369	1655	671	4113	1136	3019	3495	3790	1783	1473	1967
k__Bacteria|p__Actinobacteria	0	4	2	5	14	6	0	8	9	0	0	1	4	4	1	5	25	2	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0	4	2	5	14	6	0	8	9	0	0	1	4	4	1	5	25	2	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0	2	0	0	11	0	0	2	7	0	0	0	0	2	0	3	13	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0	2	0	0	11	0	0	2	7	0	0	0	0	2	0	3	13	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella	0	2	0	0	11	0	0	2	7	0	0	0	0	2	0	3	13	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v31_15350]	0	2	0	0	5	0	0	2	0	0	0	0	0	0	0	3	11	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella species incertae sedis [ext_mOTU_v31_15383]	0	0	0	0	6	0	0	0	7	0	0	0	0	2	0	0	2	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0	2	2	5	3	6	0	6	2	0	0	1	4	2	1	2	12	2	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0	2	2	5	3	6	0	6	2	0	0	1	4	2	1	2	12	2	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae gen. incertae sedis	0	2	2	3	1	2	0	2	2	0	0	1	2	2	0	2	10	2	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae gen. incertae sedis|s__Eggerthellaceae species incertae sedis [ext_mOTU_v31_18006]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae gen. incertae sedis|s__Eggerthellaceae species incertae sedis [ext_mOTU_v31_19053]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae gen. incertae sedis|s__Eggerthellaceae species incertae sedis [ext_mOTU_v31_28291]	0	2	2	3	1	2	0	2	2	0	0	1	2	2	0	2	3	2	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	0	0	0	2	2	4	0	4	0	0	0	0	2	0	1	0	2	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus caecimuris [ref_mOTU_v31_02234]	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus mucosicola [ref_mOTU_v31_02233]	0	0	0	2	2	3	0	3	0	0	0	0	2	0	1	0	2	0	0	0
k__Bacteria|p__Bacteria phylum incertae sedis	1	0	3	2	0	6	0	0	5	0	3	0	2	0	0	1	0	3	5	10
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	1	0	3	2	0	6	0	0	5	0	3	0	2	0	0	1	0	3	5	10
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis	1	0	3	2	0	6	0	0	5	0	3	0	2	0	0	1	0	3	5	10
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis	1	0	3	2	0	6	0	0	5	0	3	0	2	0	0	1	0	3	5	10
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis	1	0	3	2	0	6	0	0	5	0	3	0	2	0	0	1	0	3	5	10
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v31_23576]	1	0	3	2	0	4	0	0	5	0	3	0	2	0	0	1	0	3	5	10
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis|o__Bacteria order incertae sedis|f__Bacteria fam. incertae sedis|g__Bacteria gen. incertae sedis|s__Bacteria species incertae sedis [ext_mOTU_v31_34205]	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	322	1694	366	1490	818	1712	887	1838	1789	589	341	496	2988	755	1402	2776	2806	398	821	721
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	322	1694	366	1490	818	1712	887	1838	1789	589	341	496	2988	755	1402	2776	2806	398	821	721
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	322	1694	366	1490	818	1712	887	1838	1789	589	341	496	2988	755	1402	2776	2806	398	821	721
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	18	95	56	375	78	207	63	58	185	73	27	19	173	14	45	59	147	16	88	58
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae gen. incertae sedis	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae gen. incertae sedis|s__Bacteroidaceae species incertae sedis [meta_mOTU_v31_13034]	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	18	95	56	355	78	207	63	58	185	73	27	19	173	14	45	59	147	16	88	58
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides acidifaciens [ref_mOTU_v31_03478]	0	3	0	168	5	7	3	36	7	0	0	0	0	0	0	1	2	3	4	9
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caecimuris [ref_mOTU_v31_03476]	2	4	0	13	3	11	5	3	3	2	2	0	9	0	1	6	5	0	2	3
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. [ref_mOTU_v31_03475]	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides species incertae sedis [ext_mOTU_v31_17393]	2	25	5	12	36	24	4	5	25	2	7	2	17	3	10	14	28	2	17	4
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides species incertae sedis [ext_mOTU_v31_18874]	11	39	44	156	3	143	47	7	128	67	12	15	133	8	25	23	92	10	49	37
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides species incertae sedis [ext_mOTU_v31_28292]	2	17	4	3	24	16	2	5	15	1	4	1	9	2	6	10	13	0	11	3
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides species incertae sedis [ext_mOTU_v31_34256]	1	7	3	2	7	6	2	2	7	1	2	1	5	1	3	5	7	1	5	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis	71	421	19	400	107	358	94	478	138	53	29	91	452	321	222	540	508	48	146	221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis	71	421	19	400	107	358	94	478	138	53	29	91	452	321	222	540	508	48	146	221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis|s__Bacteroidales species incertae sedis [ext_mOTU_v31_18876]	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis|s__Bacteroidales species incertae sedis [ext_mOTU_v31_18898]	1	1	0	12	2	8	1	11	2	1	1	0	3	1	1	3	3	1	2	4
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis|s__Bacteroidales species incertae sedis [ext_mOTU_v31_18899]	5	13	5	189	38	123	27	249	18	21	6	5	75	7	12	73	78	5	50	92
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis|s__Bacteroidales species incertae sedis [ext_mOTU_v31_18900]	4	10	2	92	21	80	12	138	13	14	4	4	39	6	10	36	36	4	29	45
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis|s__Bacteroidales species incertae sedis [ext_mOTU_v31_19064]	4	6	0	11	10	9	2	47	14	0	4	3	15	3	10	30	21	1	3	5
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis|s__Bacteroidales species incertae sedis [ext_mOTU_v31_19090]	3	14	2	26	18	21	7	23	19	3	2	6	23	7	12	24	21	3	18	6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis|s__Bacteroidales species incertae sedis [meta_mOTU_v31_12701]	44	320	5	63	14	83	2	9	17	2	6	45	195	259	109	233	226	24	29	67
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales fam. incertae sedis|g__Bacteroidales gen. incertae sedis|s__Bacteroidales species incertae sedis [meta_mOTU_v31_12954]	10	57	5	7	4	34	43	1	55	12	3	28	102	38	68	141	123	10	15	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	117	684	88	413	252	328	292	495	700	94	58	210	1039	263	739	1175	922	160	183	178
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis	112	643	81	386	190	290	281	477	640	85	56	193	963	247	696	1108	873	151	174	155
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Bacteroidales bacterium H5 [ref_mOTU_v31_05847]	10	47	5	6	3	27	37	1	49	9	3	27	98	36	62	136	111	10	15	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Bacteroidales bacterium M1 [ref_mOTU_v31_10008]	11	37	2	110	2	44	7	2	78	4	3	9	87	34	33	59	46	12	10	11
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Bacteroidales bacterium M10 [ref_mOTU_v31_10015]	7	44	0	3	4	11	3	11	24	0	2	10	25	28	4	21	8	6	8	12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Bacteroidales bacterium M11 [ref_mOTU_v31_10016]	0	3	0	2	2	0	3	0	2	0	2	1	2	3	3	4	4	0	2	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Bacteroidales bacterium M12 [ref_mOTU_v31_10017]	0	6	2	6	2	5	2	9	34	0	4	3	15	7	12	7	5	2	5	5
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Bacteroidales bacterium M14 [ref_mOTU_v31_10018]	5	43	22	20	36	32	13	22	46	14	11	9	34	13	11	66	83	4	11	5
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Bacteroidales bacterium M6 [ref_mOTU_v31_10012]	4	11	0	22	4	3	1	16	22	0	2	2	16	3	7	16	14	3	3	6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18271]	1	3	0	7	1	0	0	3	3	2	0	2	3	0	2	11	5	0	3	5
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18847]	3	15	2	31	29	11	7	201	11	4	3	5	49	7	16	31	16	3	34	18
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18848]	3	6	4	5	1	5	0	0	27	0	0	3	21	1	18	25	21	1	0	1
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18849]	2	3	1	4	1	5	0	0	17	0	0	2	17	1	12	12	11	1	0	1
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18854]	3	8	2	13	6	29	11	17	6	3	1	3	10	2	8	21	20	4	11	12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18859]	6	28	1	54	4	20	6	27	63	3	4	15	81	12	45	52	24	8	18	28
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18868]	4	9	2	3	3	8	12	13	17	4	2	7	29	4	14	18	13	2	12	4
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18875]	16	256	21	12	3	27	128	2	98	14	4	19	102	24	301	347	287	58	3	11
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18896]	10	36	1	12	45	9	10	121	22	6	3	32	130	18	25	94	60	9	7	14
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18902]	12	31	8	5	14	11	10	10	53	7	6	16	95	30	70	50	51	11	8	6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18905]	4	17	4	17	5	12	9	3	26	4	3	8	38	6	18	61	33	4	3	3
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_18981]	1	13	0	2	4	2	5	3	3	3	0	3	14	4	4	12	10	3	2	1
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_19061]	2	3	2	4	4	6	0	1	7	0	2	1	11	4	6	10	9	2	2	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_19063]	3	5	0	11	4	5	3	1	11	2	0	3	21	2	6	14	7	3	3	3
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_19137]	2	11	0	31	8	14	9	10	13	3	1	4	17	3	7	15	12	2	9	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_19152]	3	5	2	6	5	4	5	4	6	3	0	6	41	5	9	22	18	1	5	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae gen. incertae sedis|s__Muribaculaceae species incertae sedis [ext_mOTU_v31_23655]	0	3	0	0	0	0	0	0	2	0	0	3	7	0	3	4	5	2	0	1
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	5	41	7	27	62	38	11	18	60	9	2	17	76	16	43	67	49	9	9	23
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale [ref_mOTU_v31_10099]	5	41	7	27	62	38	11	18	60	9	2	17	76	16	43	67	49	9	9	23
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	11	20	8	13	15	44	11	21	20	11	18	6	62	10	21	27	24	8	27	28
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	11	20	8	13	15	44	11	21	20	11	18	6	62	10	21	27	24	8	27	28
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter species incertae sedis [ext_mOTU_v31_18903]	11	20	8	13	15	44	11	21	20	11	18	6	62	10	21	27	24	8	27	28
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	36	206	123	71	109	240	158	314	307	184	81	65	513	47	193	479	632	54	133	68
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	28	183	85	52	6	206	86	10	224	145	74	55	387	28	164	296	374	45	112	68
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae gen. incertae sedis	8	23	38	19	103	34	72	304	83	39	7	10	126	19	29	183	258	9	21	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae gen. incertae sedis|s__Prevotellaceae species incertae sedis [ext_mOTU_v31_18967]	3	11	21	12	65	20	43	183	50	23	4	6	65	11	16	110	155	6	13	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae gen. incertae sedis|s__Prevotellaceae species incertae sedis [ext_mOTU_v31_18968]	5	12	17	7	38	14	29	121	33	16	3	4	61	8	13	73	103	3	8	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella species incertae sedis [ext_mOTU_v31_18861]	16	83	63	45	3	104	59	4	148	76	45	30	219	10	87	133	222	27	55	60
