sample_id	strain	condition	sex
M1-stool	C57BL/6J	sham	male
M2-stool	C57BL/6J	sham	male
M3-stool	C57BL/6J	sham	male
M4-stool	C57BL/6J	sham	male
M5-stool	C57BL/6J	sham	male
M6-stool	C57BL/6J	sham	male
M7-stool	C57BL/6J	sham	male
M8-stool	C57BL/6J	sham	male
M9-stool	C57BL/6J	sham	male
M10-stool	C57BL/6J	sham	male
M11-stool	C57BL/6J	stroke	male
M16-stool	C57BL/6J	stroke	male
M17-stool	C57BL/6J	stroke	male
M19-stool	C57BL/6J	stroke	male
M20-stool	C57BL/6J	stroke	male
M21-stool	C57BL/6J	stroke	male
RD521-stool	C57BL/6J	stroke	male
RD522-stool	C57BL/6J	stroke	male
